X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	KR	realZxx_real	imagZxx_real	realZxy_real	imagZxy_real	realZyx_real	imagZyx_real	realZyy_real	imagZyy_real
-9000	-9000	0.1	-2.34E-05	2.68E-06	0.0189711	-0.0200311	-0.0190007	0.0200364	3.07E-05	8.92E-06	1.000459348	-8.08E-08	1.46E-07	0.0189843	-0.0200266	-0.0189843	0.0200266	5.97E-08	-9.37E-08
-8000	-9000	0.1	-4.02E-06	2.64E-06	0.0189062	-0.0200116	-0.0189834	0.0200206	9.88E-06	-2.72E-06	0.997481364	-6.23E-08	3.61E-07	0.0189843	-0.0200266	-0.0189843	0.0200266	3.74E-08	-2.52E-07
-7000	-9000	0.1	-8.52E-06	3.09E-05	0.0221466	-0.0241248	-0.0221975	0.0241369	5.15E-06	-2.26E-05	1.410290841	5.78E-08	7.66E-07	0.0189843	-0.0200266	-0.0189843	0.0200266	-7.98E-08	-6.31E-07
-6000	-9000	0.1	-9.76E-06	3.33E-05	0.0221437	-0.0241188	-0.0221826	0.0241366	5.20E-06	-2.50E-05	1.408906287	3.96E-07	1.38E-06	0.018992	-0.0200374	-0.0189843	0.0200266	-4.75E-07	-1.39E-06
-5000	-9000	0.1	-3.74E-06	4.18E-06	0.0189078	-0.0200072	-0.0190025	0.0200372	1.07E-05	-1.04E-05	0.998037685	8.71E-07	1.99E-06	0.0189915	-0.0200303	-0.0189843	0.0200266	-1.19E-06	-2.37E-06
-4000	-9000	0.1	-6.88E-06	6.81E-06	0.0189915	-0.0200259	-0.0189813	0.0200424	9.85E-06	-1.13E-05	1.000329679	1.14E-06	2.25E-06	0.0189918	-0.0200266	-0.0189831	0.0200271	-1.80E-06	-3.13E-06
-3000	-9000	0.1	1.87E-06	9.03E-06	0.0189811	-0.0200258	-0.0191332	0.0200377	5.65E-06	-2.13E-05	1.003903925	9.32E-07	1.98E-06	0.0189936	-0.0200185	-0.0189831	0.0200271	-1.83E-06	-3.24E-06
-2000	-9000	0.1	1.25E-05	4.23E-06	0.0188495	-0.0199884	-0.0189762	0.0200287	-2.69E-06	-1.39E-05	0.995016956	4.31E-07	1.26E-06	0.018998	-0.0200272	-0.0189864	0.0200292	-1.16E-06	-2.63E-06
-1000	-9000	0.1	2.00E-05	-4.82E-06	0.0253177	-0.0282339	-0.0318387	0.0353111	-1.90E-05	-9.88E-06	2.367173044	5.99E-08	4.22E-07	0.0189975	-0.0200201	-0.0189876	0.0200287	-2.55E-07	-1.29E-06
0	-9000	0.1	1.70E-06	7.70E-06	0.0253192	-0.0282117	-0.0317978	0.03529	-2.19E-05	2.92E-06	2.364026495	-8.75E-08	-2.29E-07	0.0189987	-0.0200196	-0.0189876	0.0200287	2.91E-07	5.40E-07
1000	-9000	0.1	1.64E-06	-1.47E-05	0.0188655	-0.0199201	-0.0189301	0.0200966	-2.77E-06	4.49E-06	0.994453083	-3.44E-07	-8.72E-07	0.0189963	-0.0200206	-0.0189876	0.0200287	8.08E-07	2.02E-06
2000	-9000	0.1	-7.97E-08	-1.27E-05	0.028306	-0.0268036	-0.0180938	0.0194143	3.07E-07	1.16E-05	1.358209868	-7.77E-07	-1.61E-06	0.0189957	-0.0200282	-0.0189831	0.0200271	1.56E-06	2.99E-06
3000	-9000	0.1	-6.44E-07	-4.94E-06	0.0087623	-0.00695952	-0.0153416	0.0101877	-1.49E-06	8.98E-06	0.270639143	-1.15E-06	-2.16E-06	0.01899	-0.0200201	-0.0189831	0.0200271	1.88E-06	3.28E-06
4000	-9000	0.1	2.46E-06	-7.94E-06	0.0192695	-0.0199784	-0.0187597	0.0200123	3.07E-06	1.43E-05	0.999745994	-1.07E-06	-2.24E-06	0.0189882	-0.0200282	-0.0189843	0.0200266	1.54E-06	2.82E-06
5000	-9000	0.1	-3.42E-06	-1.76E-05	0.0188012	-0.0199696	-0.0190116	0.0200674	3.26E-05	1.62E-05	0.995441856	-5.20E-07	-1.72E-06	0.0189891	-0.0200314	-0.0189843	0.0200266	7.30E-07	1.93E-06
6000	-9000	0.1	-0.000138934	3.51E-05	0.0268366	-0.0302482	-0.0268319	0.0302368	5.24E-05	-1.84E-05	2.146719548	-6.04E-08	-9.41E-07	0.0189855	-0.0200261	-0.0189843	0.0200266	4.49E-08	9.21E-07
7000	-9000	0.1	-0.000127476	1.23E-05	0.0267099	-0.0301284	-0.0349413	0.0386759	-3.79E-05	1.54E-05	2.756013774	8.28E-08	-4.09E-07	0.0189843	-0.0200266	-0.0189843	0.0200266	-7.45E-08	3.07E-07
8000	-9000	0.1	6.16E-08	-9.43E-06	0.0186623	-0.0199293	-0.0190079	0.020056	4.39E-07	3.96E-06	0.990778828	1.03E-07	-1.72E-07	0.0189843	-0.0200266	-0.0189843	0.0200266	-7.57E-08	1.19E-07
